Currency,YYYYMMDD_HHMMSS,Open,High,Low,Close,Volume,WAP,Count,Minute,Tesla3,Tesla6,Tesla9,Decision,EXECUTE
EUR,20200708  14:15:00,1.1353,1.1353,1.1351,1.1352,426,1.13519,149,15,-3E-05,-0.00069,0.000126,NO,NO
EUR,20200708  14:20:00,1.1352,1.13525,1.1351,1.13515,478,1.13517,171,20,-9E-05,-0.00039,-0.000153,NO,NO
EUR,20200708  14:25:00,1.13515,1.13535,1.13515,1.1353,311,1.135275,132,25,-2.85E-05,3E-06,0.0003465,BUY,NO
EUR,20200708  14:30:00,1.13525,1.1353,1.1351,1.1352,445,1.13523,146,30,-0.0002655,7.2E-05,0.000108,BUY,NO
EUR,20200708  14:35:00,1.1352,1.1353,1.13515,1.13525,380,1.13523,162,35,-0.000297,0.00018,4.95E-05,NO,NO
EUR,20200708  14:40:00,1.1353,1.1353,1.135,1.13505,466,1.135095,180,40,-0.000285,-0.000282,-0.0004725,NO,NO
EUR,20200708  14:45:00,1.1351,1.1352,1.13505,1.1352,466,1.135125,153,45,-0.0001785,-0.000129,-0.000297,NO,NO
EUR,20200708  14:50:00,1.13525,1.1355,1.1352,1.1353,978,1.135385,253,50,0.000222,0.000444,0.000774,BUY,NO
EUR,20200708  14:55:00,1.13535,1.1355,1.13525,1.13525,1641,1.135345,365,55,0.000228,0.000309,0.0004905,BUY,NO
EUR,20200708  15:00:00,1.1352,1.13535,1.1352,1.13525,776,1.13525,241,0,4.5E-05,5.7E-05,4.5E-05,NO,NO
EUR,20200708  15:05:00,1.1352,1.1353,1.135,1.1353,404,1.13518,133,5,1.5E-06,-6.6E-05,-0.0003465,SELL,NO
EUR,20200708  15:10:00,1.1353,1.13535,1.1347,1.13495,991,1.13496,355,10,-0.000288,-0.000504,-0.001188,SELL,NO
EUR,20200708  15:15:00,1.135,1.13505,1.13485,1.135,376,1.13497,102,15,-0.0002955,-0.000573,-0.0007695,SELL,NO
EUR,20200708  15:20:00,1.13495,1.13525,1.13495,1.1352,837,1.135075,277,20,-0.0001815,-0.00039,-5.4E-05,NO,NO
EUR,20200708  15:25:00,1.1352,1.1352,1.135,1.1351,440,1.135115,173,25,-0.000111,-0.000387,0.0002475,NO,NO
EUR,20200708  15:30:00,1.1351,1.1352,1.13495,1.13495,384,1.13511,140,30,-7.2E-05,-0.000432,0.000288,NO,NO
EUR,20200708  15:35:00,1.13495,1.13515,1.1347,1.1347,405,1.134935,164,35,-0.0003285,-0.000597,-0.000477,NO,NO
EUR,20200708  15:40:00,1.1347,1.1347,1.13455,1.13465,382,1.13464,163,40,-0.000717,-0.00108,-0.0015075,SELL,NO
EUR,20200708  15:45:00,1.13465,1.13465,1.1345,1.1346,251,1.13457,97,45,-0.0008475,-0.001143,-0.001368,SELL,NO
EUR,20200708  15:50:00,1.1346,1.13465,1.1345,1.13465,267,1.13456,105,50,-0.000876,-0.001128,-0.0009135,NO,NO
EUR,20200708  15:55:00,1.13465,1.13495,1.13455,1.13495,429,1.134795,173,55,-0.0004665,-0.000654,0.0004275,NO,NO
EUR,20200708  16:00:00,1.1349,1.1349,1.13475,1.1349,310,1.13484,89,0,-0.0003,-0.000525,0.0007155,NO,NO
EUR,20200708  16:05:00,1.1349,1.13505,1.13485,1.13485,264,1.134965,72,5,-9.75E-05,3.6E-05,0.0009855,BUY,NO
EUR,20200708  16:10:00,1.1348,1.13485,1.13475,1.13485,123,1.13479,52,10,-0.000288,-5.7E-05,-1.9984E-16,BUY,NO
EUR,20200708  16:15:00,1.13485,1.13495,1.1348,1.1349,93,1.134865,46,15,-0.000243,0.000453,6.3E-05,NO,NO
EUR,20200708  16:20:00,1.13485,1.13485,1.13475,1.13485,66,1.1348,22,20,-0.0003105,0.000381,-0.000234,NO,NO
EUR,20200708  16:25:00,1.1349,1.1351,1.13475,1.13475,181,1.13493,77,25,-2.4E-05,0.000573,0.00027,NO,NO
EUR,20200708  16:30:00,1.1348,1.135,1.13475,1.135,122,1.13484,54,30,3.15E-05,0.00012,-2.25E-05,NO,NO
EUR,20200708  16:35:00,1.135,1.135,1.1348,1.13485,179,1.134855,72,35,0.0002145,1.8E-05,-1.35E-05,SELL,NO
EUR,20200708  16:40:00,1.1349,1.135,1.13485,1.13485,96,1.13492,24,40,0.0003345,0.000132,0.0002295,NO,NO
EUR,20200708  16:45:00,1.1349,1.1349,1.1347,1.13475,61,1.134785,38,45,0.0001125,-0.000168,-0.0003645,SELL,NO
EUR,20200708  16:50:00,1.1348,1.13485,1.1347,1.1348,96,1.134805,39,50,1.8E-05,-9.9E-05,-0.000162,SELL,NO
EUR,20200708  16:55:00,1.13475,1.13485,1.1346,1.13475,158,1.13471,55,55,-0.000165,-0.000357,-0.0004725,SELL,NO
EUR,20200709  09:30:00,1.13595,1.136,1.1349,1.13515,1726,1.135395,652,30,0.000636,0.001293,0.002124,BUY,NO
EUR,20200709  09:35:00,1.1352,1.1354,1.13385,1.13385,3162,1.134465,937,35,-0.000468,-0.001011,-0.0016515,SELL,NO
EUR,20200709  09:40:00,1.1339,1.1348,1.13375,1.13455,2047,1.13425,659,40,-0.0007155,-0.00144,-0.0021375,SELL,EXECUTE
EUR,20200709  09:45:00,1.13455,1.1351,1.13415,1.13455,1908,1.13462,646,45,-0.0002865,-0.000531,-0.000306,NO,NO
EUR,20200709  09:50:00,1.1345,1.1349,1.13375,1.13415,2489,1.1343,737,50,-0.0006675,-0.001212,-0.001377,SELL,NO
EUR,20200709  09:55:00,1.13415,1.1347,1.1341,1.13425,999,1.134385,380,55,-0.0006015,-0.001293,-8.55E-05,NO,NO
EUR,20200709  10:00:00,1.1342,1.1351,1.134,1.1351,2788,1.134455,909,0,-0.000474,-0.000933,0.0002385,NO,NO
EUR,20200709  10:05:00,1.13505,1.13535,1.1347,1.13515,1032,1.135025,400,5,0.0002205,0.000768,0.002106,BUY,NO
EUR,20200709  10:10:00,1.1352,1.1354,1.13445,1.1347,1645,1.13495,631,10,0.000174,0.000642,0.0014715,BUY,NO
EUR,20200709  10:15:00,1.1347,1.1348,1.1324,1.13265,4931,1.13332,1538,15,-0.0019245,-0.002613,-0.0049815,SELL,NO
EUR,20200709  10:20:00,1.13265,1.13345,1.13225,1.13345,4320,1.132905,1428,20,-0.0023265,-0.003561,-0.005517,SELL,EXECUTE
EUR,20200709  10:25:00,1.1334,1.13455,1.1334,1.1341,3737,1.134025,1219,25,-0.000816,-0.000996,-9E-05,NO,NO
EUR,20200709  10:30:00,1.1341,1.1346,1.134,1.1342,1629,1.13436,658,30,-0.000387,-0.000435,0.002016,NO,NO
EUR,20200709  10:35:00,1.13415,1.1343,1.1328,1.13315,2605,1.133345,1022,35,-0.0012765,-0.003261,-0.001107,NO,NO
EUR,20200709  10:40:00,1.1331,1.1331,1.13185,1.13185,3275,1.132585,1184,40,-0.0021645,-0.004446,-0.0038655,NO,NO
EUR,20200709  10:45:00,1.1319,1.13205,1.1308,1.1315,6316,1.131415,2177,45,-0.00363,-0.006324,-0.0077895,SELL,NO
EUR,20200709  10:50:00,1.13145,1.13185,1.1308,1.1311,4084,1.13132,1688,50,-0.0038655,-0.005952,-0.0057825,NO,NO
EUR,20200709  10:55:00,1.13105,1.13125,1.1306,1.1311,3207,1.130885,1301,55,-0.0045825,-0.006642,-0.0046125,NO,NO
EUR,20200709  11:00:00,1.13115,1.1312,1.13025,1.13055,3681,1.13073,1356,0,-0.004449,-0.007029,-0.0029565,NO,NO
EUR,20200709  11:05:00,1.1305,1.131,1.1301,1.1309,2303,1.13048,887,5,-0.004284,-0.007437,-0.002187,NO,NO
EUR,20200709  11:10:00,1.13085,1.1315,1.13085,1.1314,2367,1.131225,822,10,-0.00309,-0.004083,0.0013365,NO,NO
EUR,20200709  11:15:00,1.1314,1.1315,1.13045,1.13065,3453,1.130975,1238,15,-0.003213,-0.002859,0.000522,BUY,NO
EUR,20200709  11:20:00,1.13065,1.1316,1.1306,1.13155,1702,1.131235,727,20,-0.0029085,-0.000759,0.001377,BUY,NO
EUR,20200709  11:25:00,1.1315,1.13195,1.13105,1.13185,2024,1.13152,786,25,-0.0024705,0.001038,0.0019485,BUY,NO
EUR,20200709  11:30:00,1.13185,1.13185,1.1313,1.1313,1818,1.131565,753,30,-0.0016335,0.001707,0.0011745,NO,NO
